time,v1,v2,v3,v4,temperature,soc,fault,bms_status,contactor
24,3.895,3.905,3.889,4.002,25.87,90.00,,OK,CLOSED
25,3.851,3.895,3.900,3.846,24.99,89.60,,OK,CLOSED
26,3.908,3.899,3.844,3.858,25.51,89.20,,OK,CLOSED
27,3.812,3.924,3.969,4.005,24.92,88.80,,OK,CLOSED
28,3.941,3.790,3.903,3.926,28.20,88.40,,OK,CLOSED
29,3.869,3.815,3.833,3.924,26.02,88.00,,OK,CLOSED
30,3.863,3.976,3.872,3.502,29.35,87.60,imbalance,WARN_IMBALANCE,CLOSED
31,3.870,3.877,3.782,3.555,27.31,87.20,imbalance,WARN_IMBALANCE,CLOSED
32,3.904,3.846,3.862,3.443,25.63,86.80,imbalance,WARN_IMBALANCE,CLOSED
33,3.853,3.904,3.872,3.436,21.60,86.40,imbalance,WARN_IMBALANCE,CLOSED
34,3.844,3.864,3.752,3.540,27.65,86.00,imbalance,WARN_IMBALANCE,CLOSED
35,3.868,3.817,3.931,3.431,23.82,85.60,imbalance,WARN_IMBALANCE,CLOSED
36,3.812,3.900,3.894,3.476,26.40,85.20,imbalance,WARN_IMBALANCE,CLOSED
37,3.859,3.879,3.895,3.452,27.91,84.80,imbalance,WARN_IMBALANCE,CLOSED
38,3.892,3.921,3.791,3.399,25.68,84.40,imbalance,WARN_IMBALANCE,CLOSED
39,3.803,3.881,3.821,3.453,30.26,84.00,imbalance,WARN_IMBALANCE,CLOSED
40,3.857,3.798,3.860,3.837,23.13,83.60,,OK,CLOSED
41,3.862,3.930,3.862,3.869,24.94,83.20,,OK,CLOSED
42,3.925,3.845,3.863,3.905,27.68,82.80,,OK,CLOSED
43,3.806,3.885,3.774,3.889,20.28,82.40,,OK,CLOSED
44,3.845,3.885,3.827,3.780,27.35,82.00,,OK,CLOSED
45,3.829,3.845,3.845,3.870,26.48,81.60,,OK,CLOSED
46,3.877,3.887,3.712,3.867,24.61,81.20,,OK,CLOSED
47,3.820,3.805,3.861,3.912,22.56,80.80,,OK,CLOSED
48,3.873,3.856,3.842,3.925,22.76,80.40,,OK,CLOSED
49,3.865,3.767,3.772,3.901,22.13,80.00,,OK,CLOSED
50,3.896,3.834,3.830,3.871,25.00,79.60,overtemp,OK,CLOSED
51,3.838,3.842,3.827,3.832,37.00,79.20,overtemp,OK,CLOSED
52,3.852,3.927,3.867,3.774,49.00,78.80,overtemp,OK,CLOSED
53,3.836,3.877,3.811,3.786,61.00,78.40,overtemp,FAULT_OVERTEMP,OPEN
54,3.860,3.844,3.874,3.785,70.00,78.00,overtemp,FAULT_OVERTEMP,OPEN
55,3.859,3.794,3.903,3.848,70.00,77.60,overtemp,FAULT_OVERTEMP,OPEN
56,3.754,3.883,3.859,3.863,70.00,77.20,overtemp,FAULT_OVERTEMP,OPEN
57,3.827,3.929,3.790,3.884,70.00,76.80,overtemp,FAULT_OVERTEMP,OPEN
58,3.850,3.840,3.757,3.904,70.00,76.40,overtemp,FAULT_OVERTEMP,OPEN
59,3.833,3.814,3.744,3.702,70.00,76.00,overtemp,FAULT_OVERTEMP,OPEN
60,3.870,3.872,3.857,3.799,26.39,75.60,,OK,CLOSED
61,3.881,3.876,3.864,3.731,24.26,75.20,,OK,CLOSED
62,3.842,3.813,3.823,3.808,25.75,74.80,,OK,CLOSED
63,3.864,3.864,3.845,3.922,25.17,74.40,,OK,CLOSED
64,3.741,3.843,3.805,3.844,23.97,74.00,,OK,CLOSED
65,3.826,3.831,3.743,3.904,22.56,73.60,,OK,CLOSED
66,3.839,3.842,3.867,3.805,24.19,73.20,,OK,CLOSED
67,3.810,3.836,3.698,3.899,27.26,72.80,,OK,CLOSED
68,3.898,3.726,3.757,3.867,28.68,72.40,,OK,CLOSED
69,3.821,3.701,3.781,3.764,24.48,72.00,,OK,CLOSED
70,3.826,3.904,3.839,3.792,20.10,71.60,,OK,CLOSED
71,3.740,3.846,3.783,3.840,27.32,71.20,,OK,CLOSED
72,3.830,3.705,3.830,3.782,25.97,70.80,,OK,CLOSED
73,3.806,3.812,3.862,3.829,28.26,70.40,,OK,CLOSED
74,3.814,3.856,3.758,3.819,25.26,70.00,,OK,CLOSED
